label,session,n,red,green,depth,red_idx,green_idx
PD,1,6,2133.3333333333335,888.8888888888889,0.11215311826898378,6,4
HC,1,21,2133.3333333333335,888.8888888888889,0.2464881067313479,6,4
protan,1,8,2844.4444444444443,666.6666666666666,0.06491132320659136,8,3
deutan,1,7,1777.7777777777778,888.8888888888889,0.04675052785766953,5,4
PD,2,4,2133.3333333333335,888.8888888888889,0.11546099093387714,6,4
HC,2,13,2133.3333333333335,888.8888888888889,0.21545879208719085,6,4
protan,2,2,2844.4444444444443,666.6666666666666,0.04329767723379131,8,3
