sub_id,session,group,subgroup,red,green,depth,red_idx,green_idx,fitted_red,fitted_green,fitted_depth,fitted_amp,fitted_sigma_red,fitted_sigma_green,fitted_r_squared,fitted_at_bound,fitted_valid,ramp_intercept,ramp_slope_red,ramp_slope_green,ramp_r_squared,rotated_red,rotated_green,rotated_depth,rotated_amp,rotated_sigma_major,rotated_sigma_minor,rotated_orientation_deg,rotated_r_squared,rotated_at_bound,rotated_valid
MET000,1,CTR,NA,2133.3333333333335,888.8888888888889,0.04761536479198438,6,4,1717.487589808435,875.107379455971,0.2041132273255699,0.7041119315577162,732.8236044926529,459.4797672297627,0.6530306501179648,False,True,0.6854126955748543,-6.291368116496669e-05,0.0001603030820629535,0.20588372825054946,1909.560434650603,986.0766107098406,0.2652846668144566,0.7865408033306924,1216.2213066208456,506.6476874312713,26.51733194445178,0.8231152723764026,False,True
MET000,2,CTR,NA,1777.7777777777778,666.6666666666666,0.11961298409542814,5,3,1724.8224475506656,827.7829207317732,0.3503660722891949,0.819114828129503,585.062088958742,295.0796143068606,0.5674506776123596,False,True,1.2267887758368905,-9.977149662203574e-05,-8.568509438375153e-06,0.13800548821858827,1740.319803108453,812.2522734436425,0.3375096503698646,0.8315475131145874,613.2292007892228,275.43136257946463,7.6063536854643425,0.5724727364536082,False,True
MET001,1,CTR,NA,2133.3333333333335,1111.111111111111,0.2697131796657892,6,5,1718.692324977456,1202.9980364582525,0.40085380848900565,0.5688815204694999,740.1450675154362,605.862032001217,0.772590083640739,False,True,1.3373255043943557,-0.0001732339133589143,-0.00022322415709306612,0.5491948164982359,1718.6957378271125,1203.0004042958326,0.40085332339078783,0.5688821758741868,740.1471335659604,605.8631792950904,7.520898466209811e-36,0.7725900834476708,False,True
MET002,1,CTR,NA,1777.7777777777778,1777.7777777777778,-0.0032596433969219302,5,8,1989.8142146731402,400.88266142476755,0.3235733408112803,0.7160243403205798,1131.1740207896328,1406.4882458328188,0.7883791137150316,False,True,0.8451122764859724,-0.0001274683976673879,-0.00017757847675087707,0.5030511667484621,1938.1529157663633,529.4051021635056,0.2929189789557547,0.6221018235268978,1356.708299034792,1027.3352740202806,103.92528991539781,0.7908068017524489,False,True
MET002,2,CTR,NA,2133.3333333333335,888.8888888888889,0.06582033486414983,6,4,1977.3282590450342,567.6041987867557,0.2593140424532704,0.6816515852668584,1371.251495820027,1029.3158624541554,0.7118750945479515,False,True,0.7420908700701045,-0.00010689850363719005,-0.000152028395602781,0.4592890222961329,1977.3306083867392,567.602128067665,0.2593146090699905,0.681654057195476,1371.2544063432624,1029.3189708912794,7.648329188190209e-21,0.7118750945584009,False,True
MET003,1,CTR,NA,1777.7777777777778,888.8888888888889,0.11463849888267003,5,4,1991.8349107881304,864.8590761550554,0.32506036093235324,0.5417917710466105,733.8052389629935,420.3630376570362,0.689583286100059,False,True,1.1246923352848397,-0.00013483695597893457,-0.00016044187649346932,0.4363308377763595,1692.5346181603318,655.6794809851867,0.4059214554188988,0.6057603812082595,1233.5689869737707,354.36088733237074,19.461700373373336,0.7827591929583353,False,True
MET003,2,CTR,NA,2488.8888888888887,888.8888888888889,0.2730170862462593,7,4,1856.7104625455693,755.591326873539,0.2946230682755433,0.5801569420408672,576.7766988308587,291.66467794001636,0.6081836254149982,False,True,1.1309739798369538,-0.00013279076050768838,-0.00013617566267671276,0.3823625199157292,1570.168876221418,604.5165812053655,0.4120336422122852,0.643106401906026,1425.9886261816039,285.92468824020995,20.72336179177591,0.7984838357517174,False,True
MET004,1,CTR,NA,1777.7777777777778,888.8888888888889,0.012054753462290905,5,4,1748.2023392557846,998.3117919725759,0.17795430180969318,0.693261895677505,672.370049265263,786.1002298817084,0.8013395134906967,False,True,1.0350817184869574,-0.00017842062866248637,-0.0001006075607819921,0.407690574247619,1733.0942339777025,956.0001104589597,0.1847573576585868,0.7011824927637916,828.5221258809052,653.5271036443962,59.47103497822562,0.8084802847978005,False,True
MET004,2,CTR,NA,1777.7777777777778,1333.3333333333333,0.07274562931806124,5,6,1693.504525370174,1036.3199493595537,0.22609326405623975,0.8320096773092621,632.7864115868042,938.1177290509729,0.8115382839884455,False,True,1.2568941803431355,-0.00023680597204876365,-9.585307957770382e-05,0.41937961862064155,1693.5183213386965,1036.305035628321,0.22608814564191748,0.8319995004931395,938.1372115397335,632.7586101187653,90.0,0.8115382839791027,False,True
MET005,1,CTR,NA,2133.3333333333335,888.8888888888889,0.11288782747433099,6,4,1530.7400567048364,747.1740516015332,0.1760920079303127,0.3160732793825364,600.8322623915328,281.1485833719262,0.5195838529900314,False,True,0.5974753285970426,-6.492755334079422e-05,-7.364604088529189e-05,0.3053817383584644,1530.7391684521544,747.175830323514,0.17609336866850017,0.3160721335395282,600.8319495801596,281.15194203319214,8.28170996467829e-29,0.5195838526951432,False,True
